0:0:0:0:0:0:0:1 - - [30/Sep/2015:22:01:29 +0200] "GET /Oblig1/oppgave05.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2015:22:01:29 +0200] "GET /Oblig1/js/ajax/ajax.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2015:22:01:29 +0200] "GET /Oblig1/js/oppgave05.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2015:22:01:29 +0200] "GET /Oblig1/oppgave05.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2015:22:01:29 +0200] "GET /Oblig1/js/ajax/ajax.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2015:22:01:29 +0200] "GET /Oblig1/js/oppgave05.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2015:22:01:29 +0200] "GET /Oblig1/oppgave05.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2015:22:01:30 +0200] "GET /Oblig1/js/ajax/ajax.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2015:22:01:30 +0200] "GET /Oblig1/js/oppgave05.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2015:22:01:30 +0200] "GET /Oblig1/oppgave05.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2015:22:01:30 +0200] "GET /Oblig1/js/oppgave05.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2015:22:01:30 +0200] "GET /Oblig1/js/ajax/ajax.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2015:22:01:30 +0200] "GET /Oblig1/oppgave05.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2015:22:01:30 +0200] "GET /Oblig1/js/ajax/ajax.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2015:22:01:30 +0200] "GET /Oblig1/js/oppgave05.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2015:22:01:32 +0200] "POST /Oblig1/Statistics HTTP/1.1" 200 18
0:0:0:0:0:0:0:1 - - [30/Sep/2015:22:01:42 +0200] "POST /Oblig1/Statistics HTTP/1.1" 200 18
0:0:0:0:0:0:0:1 - - [30/Sep/2015:22:05:34 +0200] "GET /Oblig1/oppgave05.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2015:22:05:34 +0200] "GET /Oblig1/js/oppgave05.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2015:22:05:34 +0200] "GET /Oblig1/js/ajax/ajax.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2015:22:05:38 +0200] "POST /Oblig1/Statistics HTTP/1.1" 200 18
0:0:0:0:0:0:0:1 - - [30/Sep/2015:22:06:23 +0200] "GET /Oblig1/oppgave05.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2015:22:06:23 +0200] "GET /Oblig1/js/oppgave05.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2015:22:06:23 +0200] "GET /Oblig1/js/ajax/ajax.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2015:22:06:25 +0200] "POST /Oblig1/Statistics HTTP/1.1" 200 18
0:0:0:0:0:0:0:1 - - [30/Sep/2015:22:06:27 +0200] "GET /Oblig1/oppgave05.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2015:22:06:27 +0200] "GET /Oblig1/js/ajax/ajax.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2015:22:06:27 +0200] "GET /Oblig1/js/oppgave05.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2015:22:06:29 +0200] "POST /Oblig1/Statistics HTTP/1.1" 200 18
0:0:0:0:0:0:0:1 - - [30/Sep/2015:22:06:32 +0200] "POST /Oblig1/Statistics HTTP/1.1" 200 18
0:0:0:0:0:0:0:1 - - [30/Sep/2015:22:10:43 +0200] "GET /Oblig1/oppgave05.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2015:22:10:43 +0200] "GET /Oblig1/js/oppgave05.js HTTP/1.1" 200 1116
0:0:0:0:0:0:0:1 - - [30/Sep/2015:22:10:43 +0200] "GET /Oblig1/js/ajax/ajax.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2015:22:10:45 +0200] "POST /Oblig1/Statistics HTTP/1.1" 200 18
0:0:0:0:0:0:0:1 - - [30/Sep/2015:22:11:26 +0200] "GET /Oblig1/oppgave05.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2015:22:11:27 +0200] "GET /Oblig1/js/oppgave05.js HTTP/1.1" 200 1149
0:0:0:0:0:0:0:1 - - [30/Sep/2015:22:11:27 +0200] "GET /Oblig1/js/ajax/ajax.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2015:22:11:27 +0200] "GET /Oblig1/oppgave05.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2015:22:11:27 +0200] "GET /Oblig1/js/oppgave05.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2015:22:11:27 +0200] "GET /Oblig1/js/ajax/ajax.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2015:22:11:27 +0200] "GET /Oblig1/oppgave05.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2015:22:11:27 +0200] "GET /Oblig1/js/oppgave05.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2015:22:11:27 +0200] "GET /Oblig1/js/ajax/ajax.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2015:22:11:27 +0200] "GET /Oblig1/oppgave05.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2015:22:11:27 +0200] "GET /Oblig1/js/ajax/ajax.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2015:22:11:27 +0200] "GET /Oblig1/js/oppgave05.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2015:22:11:27 +0200] "GET /Oblig1/oppgave05.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2015:22:11:27 +0200] "GET /Oblig1/js/ajax/ajax.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2015:22:11:27 +0200] "GET /Oblig1/js/oppgave05.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2015:22:11:27 +0200] "GET /Oblig1/oppgave05.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2015:22:11:27 +0200] "GET /Oblig1/js/oppgave05.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2015:22:11:27 +0200] "GET /Oblig1/js/ajax/ajax.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2015:22:11:27 +0200] "GET /Oblig1/oppgave05.html HTTP/1.1" 304 -
